タイトル,あらすじ,ジャンル
グリンチ (吹替版),友達も家族もいないグリンチはいつも一人ぼっち。ずっとさびしい毎日を過ごしていた彼はやがて･･･すっかりひねくれ者になってしまった！オトナになったグリンチは他人の幸せが大嫌い。愛犬マックスと村はずれの洞窟で誰とも会わずに暮らし、ハートの大きさは普通の人よりもずっと小さくなった。そんなグリンチが一番嫌いなもの、それは村中が幸せな気分に包まれるクリスマス！しかも今年はとびきり豪華になるらしい。もう我慢できないグリンチは、ある計画を思いつく。それは村から“クリスマス”を盗むという、とんでもない作戦だった！© 2018 Universal Studios. All Rights Reserved.,"コメディー,キッズ"
ジョニー・イングリッシュ／アナログの逆襲 (字幕版),サイバー攻撃によって、イギリスの秘密情報部MI7の現役スパイ全員の情報が漏洩してしまい、隠居していたジョニー・イングリッシュが最後の頼みの綱として何故か呼び出される。早速、裏で操る犯人を見つける為に任務を開始するが、限られたスキルしか持っていない彼にとって、最先端のデジタル技術の方が脅威だった・・・果たして、イングリッシュは世界を救う事が出来るのか？ 今、ヨーロッパを股に掛けたアナログの逆襲が始まる！ © 2019 Universal Studios. All Rights Reserved.,"アクション,アドベンチャー,コメディー"
インフェルノ (字幕版),記憶喪失状態でフィレンツェの病院で目覚めたロバート・ラングドン教授（トム・ハンクス）は何者かに命を狙われるも、医師のシエナ・ブルックス（フェリシティ・ジョーンズ）の手引きで事なきを得る。やがて二人は、人口増加を危惧する生化学者バートランド・ゾブリスト（ベン・フォスター）が人類の半数を滅ぼすウイルス拡散をたくらんでいることを知る。彼らは邪悪な陰謀を阻止すべく、ゾブリストがダンテの叙事詩「神曲」の「地獄篇」に隠した謎の解明に挑むが……。,サスペンス
LUCY/ルーシー (吹替版),ごく普通の生活を送っていた女性ルーシー。ある日、マフィアの闇取引に巻き込まれてしまい、そこで起こったアクシデントによって彼女の脳は異変をきたす。「人類の脳は10%しか機能していない」と言われるが、ルーシーの脳は覚醒し、次々と人智を超えた能力を発揮し始める。脳科学者ノーマン博士は彼女の脳の可能性を信じ、落ち合う約束をする。一方、マフィアは行方をくらませたルーシーを巨大な組織全体で追い詰めていく。マフィアの裏をかき、博士の元へ向かうルーシーは次第に人間性を失い、自分自身でさえもコントロール不能な暴走状態へと陥ってしまう。 © 2014 EUROPACORP-TF1 FILMS PRODUCTION - GRIVE PRODUCTIONS. All Rights Reserved.,"アクション,外国映画"
博士と彼女のセオリー (字幕版),エディ･レッドメインが著名な科学者スティーヴン･ホーキング博士を演じ、称賛を浴びた。かつては若く健康で活動的だったスティーヴン。21歳の時、彼はケンブリッジ大学の学生であるジェーン･ワイルド（フェリシティ･ジョーンズ）と出会い恋に落ちるが、時を同じくして余命宣告を受ける。ジェーンの献身的な支えを受け、スティーヴンは意欲的に研究に打ち込む。その内容は彼にとってまさに貴重なもの、時間についてだった。２人は力を合わせて絶望的な状況に立ち向かい、誰にも想像できなかった偉業を成し遂げる。© 2014 UNIVERSAL STUDIOS. All Rights Reserved.,"ドラマ,ロマンス"
ダ・ヴィンチ・コード(吹替版),ルーブル美術館で殺された館長の周りに残された不可解な暗号。容疑者として現場に連れてこられたラングドンは、館長の孫娘で暗号解読者のソフィーに助け出される。ファーシュ警部をはじめとするフランス司法警察に追跡されながら、暗号の謎を解き始めるふたり。そこに歴史を覆す驚愕の真実が・・・！,サスペンス
怪盗グルーの月泥棒 (吹替版),世界中で大ヒット！月まで届くアトラクション・ムービー登場！ 子どもは笑って大人は泣いて。「アイス・エイジ」のスタッフが贈るハートフルアドベンチャー！ ■全米興行オープニングNo.1の大ヒット！ アニメーション全米ランキング、「トイ・ストーリー2」を抜いて歴代10位、全米3D映画ランキングでは、「ヒックとドラゴン」「シュレック　フォーエバー」を抜いて歴代5位、という歴史に残る成績に。,キッズ
天使と悪魔 (吹替版),"新しい教皇を選出するコンクラーベと行うことになったカトリック教会の総本山ヴァチカンで、候補者である枢機卿たちが誘拐される事件が発生。ヴァチカンの依頼で調査に乗り出した宗教象徴学者ロバート・ラングドン教授は、教会に迫害された科学者たちが創設したという秘密結社イルミナティが、再び現代に姿を現したのではないかと推理する。犯人はスイスの研究所から恐るべき破壊力を秘めた""反物質""を盗み出し、ヴァチカンの爆破をも計画。ラングドン教授は美人科学者ヴィットリアの協力を得て、謎に包まれたこの事件の真相に迫っていく。",ドラマ
ジュラシック・ワールド／炎の王国 (吹替版),あの大惨事から3年――大人気テーマパーク「ジュラシック・ワールド」は、今や放棄され、恐竜たちがたくましく生き抜く、野生の島へと姿を変えていた。しかしある日、島内で巨大な火山噴火の予兆が観測される。タイムリミットが近づく中、選択を迫られる人間たち.,"アクション,SF,アドベンチャー"
EVA＜エヴァ＞(字幕版),2012年度ゴヤ賞（スペイン版アカデミー賞）にて、視覚効果賞ほか３部門受賞！予告篇がカッコ良すぎる映画として日本でも話題になったスぺイン産美少女アンドロイドＳＦ映画,"ドラマ,SF"
