タイトル,あらすじ,ジャンル
鬼滅の刃,時は大正、日本。炭を売る心優しき少年・炭治郎は、ある日鬼に家族を皆殺しにされてしまう。さらに唯一生き残った妹の襧豆子は鬼に変貌してしまった。絶望的な現実に打ちのめされる炭治郎だったが、妹を人間に戻し、家族を殺した鬼を討つため、“鬼狩り”の道を進む決意をする。人と鬼とが織りなす哀しき兄妹の物語が、今、始まる--！ ©吾峠呼世晴／集英社・アニプレックス・ufotable,アニメ
ワンピース,時は大海賊時代。かつて、この世の全てを手に入れた男がいた。その名は海賊王ゴールド・ロジャー。遥かな大海原グランドラインには、彼が遺した“ひとつなぎの大秘宝（ワンピース）”が隠されているという…。伝説の秘宝を求め、人々は競うように海へと漕ぎ出してゆく。そして、ここにもグランドラインを目指す者が一人。悪魔の実と呼ばれる不思議な実の一つ「ゴムゴムの実」を食べ、全身がゴムのように伸びるゴム人間になったモンキー・Ｄ・ルフィだ。幼い頃に赤髪のシャンクスから麦わら帽子を託された彼は、海賊王になるという壮大な野望を抱いていた。海へと乗り出したルフィは、航海の中で大冒険を繰り返し、様々な人々と出会ってゆく。信頼できる個性的な仲間、悪党どもや海軍など立ちふさがる強大な敵…さあ、まだ見ぬ世界へ向けて帆を上げろ！　歴史を変える大航海が今、出航の時を迎える!!(C)尾田栄一郎／集英社・フジテレビ・東映アニメーション,アニメ
ワンピース,時は大海賊時代。かつて、この世の全てを手に入れた男がいた。その名は海賊王ゴールド・ロジャー。遥かな大海原グランドラインには、彼が遺した“ひとつなぎの大秘宝（ワンピース）”が隠されているという…。伝説の秘宝を求め、人々は競うように海へと漕ぎ出してゆく。そして、ここにもグランドラインを目指す者が一人。悪魔の実と呼ばれる不思議な実の一つ「ゴムゴムの実」を食べ、全身がゴムのように伸びるゴム人間になったモンキー・Ｄ・ルフィだ。幼い頃に赤髪のシャンクスから麦わら帽子を託された彼は、海賊王になるという壮大な野望を抱いていた。海へと乗り出したルフィは、航海の中で大冒険を繰り返し、様々な人々と出会ってゆく。信頼できる個性的な仲間、悪党どもや海軍など立ちふさがる強大な敵…さあ、まだ見ぬ世界へ向けて帆を上げろ！　歴史を変える大航海が今、出航の時を迎える!!(C)尾田栄一郎／集英社・フジテレビ・東映アニメーション,アニメ
ドラゴンボール超,"ドラゴンボールの力によって""魔人ブウ”の記憶が人々から消え去り、さらに月日が流れた地球。悟空は、チチの言いつけで働くことになって農業をしつつもさぼりながら修業の毎日。そして結婚したての悟飯とビーデルは幸せな日々を過ごしていた。一方、宇宙の彼方では39年ぶりに目覚めた破壊神ビルスが、予知夢で見た自分のライバルになり得るであろう何者かの名前を思い出すべく奮闘していた。果たしてその者の名前は！？(C)バードスタジオ/集英社・フジテレビ・東映アニメーション",アニメ
ワンピース,時は大海賊時代。かつて、この世の全てを手に入れた男がいた。その名は海賊王ゴールド・ロジャー。遥かな大海原グランドラインには、彼が遺した“ひとつなぎの大秘宝（ワンピース）”が隠されているという…。伝説の秘宝を求め、人々は競うように海へと漕ぎ出してゆく。そして、ここにもグランドラインを目指す者が一人。悪魔の実と呼ばれる不思議な実の一つ「ゴムゴムの実」を食べ、全身がゴムのように伸びるゴム人間になったモンキー・Ｄ・ルフィだ。幼い頃に赤髪のシャンクスから麦わら帽子を託された彼は、海賊王になるという壮大な野望を抱いていた。海へと乗り出したルフィは、航海の中で大冒険を繰り返し、様々な人々と出会ってゆく。信頼できる個性的な仲間、悪党どもや海軍など立ちふさがる強大な敵…さあ、まだ見ぬ世界へ向けて帆を上げろ！　歴史を変える大航海が今、出航の時を迎える!!(C)尾田栄一郎／集英社・フジテレビ・東映アニメーション,アニメ
ハイキュー!!,"「週刊少年ジャンプ」で絶賛連載中・次世代王道スポーツ漫画、『ハイキュー!!』が早くもTVアニメ化！制作は、あのProduction I.G！ 想いをのせて仲間とボールを""繋ぐ”、それがバレーボール。少年たちの躍動感あふれる激闘を見逃すな！(C)古舘春一／集英社・「ハイキュー!!」製作委員会・MBS",アニメ
ハイキュー!!,"「週刊少年ジャンプ」で絶賛連載中・シリーズ累計1,300万部突破の次世代王道スポーツ作品、『ハイキュー!!』のTVアニメ続編が制作決定！3度のボレーで攻撃へと“繋ぐ”バレーボールに青春を燃やす少年たちの、チームメイトへの熱い思いと、ライバルとの死力を尽くす真剣勝負。本格バレーボール作品の魅力を、アニメーションならではの躍動感でお届けします！(Ｃ)古舘春一／集英社・「ハイキュー!!セカンドシーズン」製作委員会・MBS",アニメ
ワンピース,時は大海賊時代。かつて、この世の全てを手に入れた男がいた。その名は海賊王ゴールド・ロジャー。遥かな大海原グランドラインには、彼が遺した“ひとつなぎの大秘宝（ワンピース）”が隠されているという…。伝説の秘宝を求め、人々は競うように海へと漕ぎ出してゆく。そして、ここにもグランドラインを目指す者が一人。悪魔の実と呼ばれる不思議な実の一つ「ゴムゴムの実」を食べ、全身がゴムのように伸びるゴム人間になったモンキー・Ｄ・ルフィだ。幼い頃に赤髪のシャンクスから麦わら帽子を託された彼は、海賊王になるという壮大な野望を抱いていた。海へと乗り出したルフィは、航海の中で大冒険を繰り返し、様々な人々と出会ってゆく。信頼できる個性的な仲間、悪党どもや海軍など立ちふさがる強大な敵…さあ、まだ見ぬ世界へ向けて帆を上げろ！　歴史を変える大航海が今、出航の時を迎える!!(C)尾田栄一郎／集英社・フジテレビ・東映アニメーション,アニメ
東京喰種トーキョーグール,“ヒト”と変わらぬ姿をしながら“ヒト”の肉を喰らうことでしか生きながらえることができない存在“喰種（グール）”--。　彼らの脅威から人々を守るために設立された[ＣＣＧ]（喰種対策局）”で、“クインクス”と呼ばれるチームが結成された。彼らは特殊な施術により喰種の能力を持つようになったヒトで構成されており、メンターとしてチームを率いる佐々木琲世（ささき はいせ）には、なぜか２年前までの記憶がない。そして彼には、[ＣＣＧ]内ではよく知られた秘密があった。 (C)石田スイ／集英社・東京喰種:re製作委員会,アニメ
ワンピース,時は大海賊時代。かつて、この世の全てを手に入れた男がいた。その名は海賊王ゴールド・ロジャー。遥かな大海原グランドラインには、彼が遺した“ひとつなぎの大秘宝（ワンピース）”が隠されているという…。伝説の秘宝を求め、人々は競うように海へと漕ぎ出してゆく。そして、ここにもグランドラインを目指す者が一人。悪魔の実と呼ばれる不思議な実の一つ「ゴムゴムの実」を食べ、全身がゴムのように伸びるゴム人間になったモンキー・Ｄ・ルフィだ。幼い頃に赤髪のシャンクスから麦わら帽子を託された彼は、海賊王になるという壮大な野望を抱いていた。海へと乗り出したルフィは、航海の中で大冒険を繰り返し、様々な人々と出会ってゆく。信頼できる個性的な仲間、悪党どもや海軍など立ちふさがる強大な敵…さあ、まだ見ぬ世界へ向けて帆を上げろ！　歴史を変える大航海が今、出航の時を迎える!!(C)尾田栄一郎／集英社・フジテレビ・東映アニメーション,アニメ
