タイトル,あらすじ,ジャンル
劇場版 コード・ブルー -ドクターヘリ緊急救命-,別れまで、あと3週間-。あなたなら、大切な人に何を伝えますか？地下鉄トンネル崩落事故から3か月後、旅立ちの時が迫る藍沢たち。その旅立ちが「別れ」を意味することに気づきながらも、彼らは10年間を共にした互いへの思いを抱えたまま、日々を過ごしていた。しかしそんな彼らの思いに構うことなく、出動要請が入る。前代未聞の「空」と「海」で未曽有の大事故が連続発生。史上最悪の現場に、彼らはいかに立ち向かうのか。そしてその先に、答えはあるのか-。(Ｃ)2018「劇場版コード・ブルー -ドクターヘリ緊急救命-」製作委員会,"ドラマ,サスペンス"
TOO YOUNG TO DIE！若くして死ぬ,"フツーの高校生・大助は、同級生のひろ美ちゃんのことが大好き。修学旅行中のある日、大助は不慮の事故に遭ってしまう。目覚めるとそこは―深紅に染まった空と炎、ドクロが転がり、人々が責め苦を受ける、ホンモノの【地獄】だった!! なんで俺だけ!? まだキスもしたことないのに、このまま死ぬには若すぎる!! 慌てる大助を待ち受けていたのは、地獄農業高校の軽音楽部顧問で、地獄専属ロックバンド・地獄図（ヘルズ）を率いる赤鬼のキラーK。キラーKの“鬼特訓”のもと、生き返りを賭けた、大助の地獄めぐりが幕を明ける!!!!!(C)2016 Asmik Ace, Inc. / TOHO CO., LTD. / J Storm Inc. / PARCO CO., LTD. / AMUSE INC. / Otonakeikaku Inc. /　KDDI CORPORATION / GYAO Corporation","コメディー,ドラマ"
万引き家族,高層マンションの谷間にポツンと取り残された今にも壊れそうな平屋に、治と信代の夫婦、息子の祥太、信代の妹の亜紀の4人が転がり込んで暮らしている。彼らの目当ては、この家の持ち主である祖母の初枝の年金だ。それで足りないものは、万引きでまかなっていた。社会という海の、底を這うように暮らす家族だが、なぜかいつも笑いが絶えず、口は悪いが仲よく暮らしていた。そんな冬のある日、治と祥太は、近隣の団地の廊下で震えていた幼いゆりを見かねて家に連れ帰る。体中傷だらけの彼女の境遇を思いやり、信代は娘として育てることにする。だが、ある事件をきっかけに家族はバラバラに引き裂かれ、それぞれが抱える秘密と切なる願いが次々と明らかになっていく──。(C)2018フジテレビジョン　ギャガ　AOI Pro.,ドラマ
羊の木,さびれた港町・魚深（うおぶか）に移住してきた互いに見知らぬ6人の男女。市役所職員の月末（つきすえ）は、彼らの受け入れを命じられた。一見普通にみえる彼らは、何かがおかしい。やがて月末は驚愕の事実を知る。「彼らは全員、元殺人犯」。それは、受刑者を仮釈放させ過疎化が進む町で受け入れる、国家の極秘プロジェクトだった。ある日、港で発生した死亡事故をきっかけに、月末の同級生・文をも巻き込み、小さな町の日常の歯車は、少しずつ狂い始める・・・。(C) 2018『羊の木』製作委員会 (C)山上たつひこ、いがらしみきお／講談社,"サスペンス,ドラマ"
探偵はＢＡＲにいる３,「恋人の麗子を捜してくれませんか」。高田の後輩からのありふれた依頼を安易に引き受けた探偵。早速調査に乗り出すと、探偵は麗子がアルバイトをしていたモデル事務所のオーナー・マリと出会い、かすかな既視感を覚える。しかし周囲を嗅ぎまわる探偵はマリの手下に襲われ、これまで無敗を誇った高田も倒されてしまう。次第に麗子の失踪の陰に、裏社会で暗躍する札幌経済界のホープ・北城グループの殺人事件が見え隠れする。マリはグループの代表・北城の愛人だった。そんな中、何かを思い出す探偵。なじみの元娼婦・モンローがかわいがっていた、今にも死にそうに震えていた女。緊張が走る裏社会、巨額の薬物取引、2つの殺人事件。すべてはマリによる、北城をも欺く作戦であった。そしてマリは、探偵に最後の依頼を託す。その時、探偵と高田の別れへのカウントダウンが始まっていた。（C)2017「探偵はＢＡＲにいる３」製作委員会,ドラマ
秘密 THE TOP SECRET,死んだ人の脳をスキャンして、記憶を映像化し、難事件の謎に挑む特別捜査機関「第九」。室長の薪、新人捜査官の青木らに、死刑囚・露口の脳を見て、行方不明の長女・絹子を探し出すというミッションが与えられた。だが、モニターに映し出された記憶の映像に捜査官たちは息をのむ。そこには刃物を振り上げる絹子の姿が映っていた。「第九」は刑事・眞鍋とともに捜査を続けるが、事態は急転、絹子が発見される。さらに絹子は、父親の犯行のショックから記憶喪失になっているというのだ。一方、眞鍋は、絹子と関係のあった男を突き止めるが、男は眞鍋の目の前で自殺。やがて同時刻に、全国で9人が自殺したことが判明する。謎を追ううちに、かつて日本を震撼させた凶悪犯・貝沼の存在が浮上する。,ドラマ
真田十勇士,関ヶ原の戦いから14年。天下統一を目前にした徳川家康と、復権を狙う豊臣家の対立が深まっていた戦国の世で、“天下に並ぶ者なし”の名将として、世間から尊敬を集めていた男、真田幸村（加藤雅也）。しかし実はこの幸村、その男前な容貌と、偶発的な幸運の連続によって勝ちを拾ってきただけの、気弱な〈腰抜け男〉だったのだ！実像と虚像の違いに悩んでいた幸村はある時、猿飛佐助（中村勘九郎）と運命的に出会う。忍者の里から飛び出してドデカいことを成し遂げたいと思っていた佐助は、幸村を担いで「本物の天下一の英雄に仕立て上げようじゃないか！」と、同じ抜け忍の霧隠才蔵（松坂桃李）を筆頭に一癖も二癖もある十人の男たちを集め、世にいう《真田十勇士》を誕生させる！亡き秀吉の妻・淀殿に呼び寄せられた幸村、そして十勇士たちは、またたく間に徳川との最終決戦の最前線に立つこととなるが…。（Ｃ） 2016 「真田十勇士」製作委員会,"ドラマ,軍隊・戦争,アクション"
仮面ライダー平成ジェネレーションズＦＩＮＡＬ　ビルド＆エグゼイドｗｉｔｈレジェンドライダー,物語はスカイウォールという巨大な壁で三つに分断された仮面ライダービルドの世界に、仮面ライダーエグゼイドの敵であるバグスターが出現する謎から始まる。存在しないはずの敵がなぜ…？正体不明の敵に為す術なくその場に崩れる戦兎の眼前には、体の半分がメカに覆われた奇怪な人物が佇んでいた。科学者を名乗るその男が巨大なマシンを起動させると、上空に突如として逆さになった世界が出現した｡一方､エグゼイドの世界でも同じ現象が勃発｡スカイウォールのある世界が､地上へ刻一刻と迫りくる。二つの世界が激突するまでに残された時間は、わずか24時間。消滅へのカウントダウンが始まった。 未曾有の危機に直面した人類を救えるのは―― そう、“あの”戦士たちだけ。（C)2017「ビルド＆エグゼイド」製作委員会　(C)石森プロ・テレビ朝日・ＡＤＫ・東映,アクション
かもめ食堂,夏のある日、ヘルシンキの街角に「かもめ食堂」という小さな食堂がオープンしました。その店の主は日本人の女性サチエ（小林聡美）でした。道行く人がふらりと入ってきて、思い思いに自由な楽しい時間を過ごしてくれる、そんな風になればいい、そう思ったサチエは献立もシンプルで美味しいものをと考え、メインメニューはおにぎりになりまして。しかし、興味本位に覗く人はいましたが、来る日も来る日も誰も来ない日が続きます。それでもサチエは毎日、食器をピカピカに磨き、夕方になるとプールで泳ぎ、家に帰って食事を作る、そして翌朝になると市場に寄って買い物をし、毎日きちんとお店を開く、ゆったりとしてヘルシンキの街と人々に、足並みを合わせるような、そんな時間を暮していました。サチエは、毎日真面目にやっていれば、いつかお客さんはやってくる、とそう思っていたのです。(C)2005 かもめ商会,ドラマ
坂道のアポロン,医師として病院に勤める西見薫。忙しい毎日を送る薫のデスクには1枚の写真が飾られていた。笑顔で写る三人の高校生。10年前の夏、二度と戻らない、“特別なあの頃”……薫は転校先の高校で、誰もが恐れる不良 千太郎と、運命的な出会いを果たす。荒々しい千太郎に不思議と薫は惹かれていき、やがて音楽で絆を深めていく。ピアノとドラムでセッションし、二人を見守る千太郎の幼なじみの律子と三人で過ごす日々。やがて薫は律子に恋心を抱くが、律子の想い人は千太郎だと知ってしまう。切ない三角関係ながら、二人で奏でる音楽はいつも最高だった。しかしそんな幸せな青春は長くは続かなかった。ある事件を境に、千太郎は二人の前から姿を消してしまい――。(C)2018 映画「坂道のアポロン」製作委員会　(C)2008 小玉ユキ／小学館,"ドラマ,ロマンス"
