タイトル,あらすじ,ジャンル
ペット,ニューヨーク･マンハッタンに住むテリア系雑種犬のマックスは、飼い主ケイティに愛され、幸せな生活を送っていた。ところが、ケイティが里親として新たに毛むくじゃらの大型犬デュークを引き取ってきたから、さあ大変! 上位争いを始めた2匹は、散歩中にトラブルに巻き込まれ、街なかで迷子になってしまう。やがて2匹は、見た目は可愛いがクレイジーなウサギのスノーボールに遭遇。スノーボールは飼い主に捨てられた元ペット軍団を結成し、ある計画を企んでいた。はたしてマックスとデュークは、ピンチを切り抜け、ケイティが帰宅するまでに無事に家に帰り着くことができるのか―。,"アニメ,アドベンチャー,キッズ"
涼宮ハルヒの消失,クリスマスが間近に迫ったある冬の日。学校に向かったキョンはいつもの日常と違うことに気づく。後ろの席にいるはずのハルヒがいない…。さらに驚くべき事に、その席に座っていたのは、(『憂鬱』にて) キョンを殺そうとして長門に消滅させられたはずの朝倉だった!,"アニメ,SF,青春"
ホートン／ふしぎな世界のダレダーレ,ジャングルに住むゾウのホートンの耳に、風で飛んできたホコリから、助けを求める小さな声が聞こえてきた。ジャングルの仲間達からバカにされながらも、ホコリに何度も話しかけるホートン。あきらめかけたその時、小さな声で返事が返ってきたのだ! それは、ホコリみたいに小さな“ダレダーレの国”の市長の声だった。陽気で明るく平和を愛するダレダーレ達が楽しく暮らすその国は、どうやら突風に飛ばされてしまったらしい。外の世界を知らない小さなダレダーレ達は、突然の大地震に国中が大混乱。ホートンは彼らを安全で平和に暮らせる場所へと届ける旅に出ることに。一方ジャングルでは、ホートンを目の敵にする母親カンガルーが、ダレダーレの国を“ただのホコリ”と言い切り、取り上げるために作戦を練っていた—。,"アニメ,キッズ,アドベンチャー"
秒速5センチメートル,小学校の卒業と同時に離ればなれになった遠野貴樹と篠原明里。そんなある日、大雪の降る中、貴樹は明里に会いに行く…。二人の再会の日を描いた「桜花抄」、その後の貴樹を別の人物の視点から描いた「コスモナウト」、そして彼らの魂の彷徨を切り取った表題作「秒速5センチメートル」。三本の連作アニメーション作品。,"アニメ,青春,ヒューマンドラマ"
劇場版 Infini-T Force／ガッチャマン さらば友よ,戦いの末に自分たちの世界を取り戻し、それぞれが生きるべき場所へと戻ったガッチャマン=健、テッカマン=城二、ポリマー=武士、キャシャーン=鉄也の4人。しかし彼らはある目的のため、笑と共に再び時空を超えて一つの世界へと降り立った。そこは平和を脅かす人類の敵「ギャラクター」が猛威を振るい、それに対抗するガッチャマン率いる「科学忍者隊」が戦い続けた世界。だが、その世界の様子に違和感を覚える彼らの前に、一人の男が姿を現す。それは科学忍者隊の創設者、南部博士。見知ったはずの健に不審な表情を向ける南部は、ヒーローたちに思わぬ言葉を告げる。「どうやら君たちは私の敵らしい」と…。そして、その様子をビルの上から見つめる一つの影があった。その名を“コンドルのジョー”。4大ヒーローの新たなる激闘が、幕を開ける!,"アニメ,アクション,キッズ"
鋼の錬金術師 嘆きの丘 (ミロス) の聖なる星,アメストリスの首都･セントラルにある中央刑務所。刑期終了を間近に控えた囚人、メルビン･ボイジャーが脱獄を果たした。メルビンが操る強力な錬金術に興味を惹かれたエドワードと弟のアルフォンスは、男の跡を追ってアメストリスの西、大国･クレタとの国境を目指すことになる。彼らがたどり着いた先は、巨大な崖に周りを囲まれた街･テーブルシティ。かつて「ミロス」と呼ばれていたこの地で、二人はジュリアという少女に出会う。少女の言葉に導かれ、エドたちはこの地に隠された、血塗られた歴史を知ることになるのだった…。,"アニメ,ファンタジー,キッズ"
機動戦士ガンダム THE ORIGIN,"1979年TV放送された、日本ロボットアニメの金字塔『機動戦士ガンダム』。そのキャラクターデザイン･アニメーションディレクターの安彦良和が手掛けた、累計発行部数1,000万部を誇る大ヒットコミックス『機動戦士ガンダム THE ORIGIN』が、ついにアニメ化!! シャア･アズナブル―のちにジオン公国軍のエースパイロット『赤い彗星』と呼ばれる男と、セイラ･マス―彼の妹の運命を決定づけた悲劇と過去とは!?","アニメ,SF,アクション"
劇場版 HUNTER×HUNTER ～緋色の幻影～,【劇場版第1弾】幼い頃に別れた父のような偉大なハンターになるために旅を続けるゴンとその親友キルア。ある日彼らのもとに、仲間のクラピカが何者かに眼を奪われたとの知らせが届く。彼は、危険度Sクラスの盗賊集団“幻影旅団”に皆殺しにされた“クルタ族”唯一の生き残りで、クルタ族特有の美しい瞳“緋の目”を持つ少年だった。一命を取り留めたクラピカのもとに駆けつけたゴンとキルアは、犯人の行方を追って捜査を開始するが…。,"アニメ,アドベンチャー,キッズ"
ミニオンズ,ユニバーサル･スタジオとイルミネーション･エンターテインメントが贈る、ミニオン誕生の物語。黄色い単細胞生物として生まれたミニオンたちは何世紀もかけて進化し、絶えず最強最悪のボスに仕えてきた。ティラノサウルスやナポレオンが主人になるものの失敗続きで、ついには仕えるべきボスがいなくなり意気消沈。そこでミニオンの一人ケビンがある計画を思いつく。,"アニメ,キッズ,ファミリー"
スポンジ･ボブ／スクエアパンツ ザ･ムービー,あの海の底の陽気な人気者、冒険大好きスポンジ･ボブがついに映画デビューだ! スポンジ･ボブや親友のパトリック、海底都市ビキニタウンの仲間と一緒に、ハラハラドキドキ、ハプニングだらけの冒険に出かけよう!,"アニメ,コメディ,キッズ"
