タイトル,あらすじ,ジャンル
曇天に笑う,「どんな時でも笑っていられる強い男になれ!」が信条の、曇天火 (福士蒼汰) は、三兄弟の長男。弟思いで人々からも慕われ、どんな悪党にも負けない最強の男として町を守る一方、実は弟たちにも言えない秘密を抱えていた。彼の暮らす地では、〈三百年に一度、曇り空が続く時、世界を滅ぼす破壊の神･オロチ (大蛇) が復活し、人々に災いをもたらす〉という伝説があった。オロチ復活が囁かれる中、オロチの力を利用し、政府転覆を目論む忍者集団･風魔一族が村を襲い、明治政府と大闘争が勃発。闘いに巻き込まれた天火の弟･空丸 (中山優馬) は、捕らわれの身となってしまう。弟を救うため、風魔一族に戦いを挑む天火だが、仲間の裏切りに遭い、絶体絶命の窮地に…! 果たして、天火は愛する弟を守れるのか? そして、彼が隠し続けてきた秘密とは―。,"アクション,ファンタジー,時代劇"
ジョジョの奇妙な冒険 ダイヤモンドは砕けない 第一章,〈スタンド〉と呼ばれる特殊能力を持つ高校生、仗助 (ジョジョ)。彼の住む杜王町では、最近、変死事件が続発していた。仗助は偶然、同じくスタンド使いであり一連の事件に関わる凶悪犯アンジェロの犯行を邪魔してしまったことから、次の標的にされてしまう。アンジェロは水を操る能力「アクア･ネックレス」を駆使して、執拗に仗助を追う。その狡猾な手口によって、ついには大切な祖父の命が奪われる。家族と町を守るため、アンジェロと戦うことを決意した仗助。彼のスタンドは、触れるだけで他人のケガや壊れたものをなおすことができる「クレイジー･ダイヤモンド」。そんな最も優しい力を持つ仗助は、彼に危険を知らせに来た承太郎と共に、最凶の力を使うアンジェロに立ち向かう。しかし、アンジェロの背後では、謎の兄弟がすべての糸を引いていた。,"アクション,アドベンチャー"
映画 それいけ! アンパンマン おもちゃの星のナンダとルンダ,おもちゃの星からやってきた、ナンダとルンダ。なんでもおもちゃに変えられるおもちゃスティックを、落としてしまうんだ。雷に打たれ、はなればなれになってしまったナンダとルンダは、アンパンマンやばいきんまん達と一緒におもちゃスティックを探しにでかけるよ!,"キッズ,アニメ,ファミリー"
映画 それいけ! アンパンマン ミージャと魔法のランプ,ふしぎなランプから現れた、ランプの精霊ミージャちゃん。ミージャちゃんの魔法の腕輪が壊れて、クリームパンダとコキンちゃんは、ランプの世界にとじこめられます。魔法の腕輪を直さないと元の世界に戻れないと知った三人は、力を合わせてランプ山を目指します!,"キッズ,アニメ,ファミリー"
曇天に笑う〈外伝〉～決別、犲の誓い～,三百年に一度蘇る魔物･大蛇復活の十一年前。歴史の裏で国を護ることを志した者たちがいた。それは大蛇討伐のため結成された部隊･犲 (やまいぬ)。曇家当主･大湖が師範を務めるその隊には、天火だけでなく、天火の盟友･安倍蒼世、佐々木妃子らの姿もあった。だがある事件をきっかけに、天火は志を同じくした犲たちと、道を分かつこととなる。部隊に属したままでは、護れぬものがあったから─。明治十二年。大蛇が滅び、晴れ渡る滋賀の空の下で、犲と曇兄弟たちは天火の秘めたる思いを知る。,"アニメ,アクション,ファンタジー"
映画 それいけ! アンパンマン りんごぼうやとみんなの願い,かっこいいヒーローに憧れるりんごぼうやの“ふるさと”アップルランド。ある日突然、りんごがなにものかに毒りんごにされてしまいます。大切な“ふるさと”をもとどおりにするため“魔法の種”をさがすりんごぼうや。アンパンマンとばいきんまんも、力を合わせてがんばります。,"キッズ,アニメ,ファンタジー"
青の帰り道,2008年、東京近郊の町でまもなく高校卒業を迎える7人の若者たち。歌手を夢見て地元を離れ、上京するカナ (真野恵里菜)。家族と上手くいかず実家を出て東京で暮らすことを決めたキリ (清水くるみ)。漠然とデカイことをやると粋がるリョウ (横浜流星)。カナとの音楽活動を夢見ながらも受験に失敗し地元で浪人暮らしのタツオ (森永悠希)。できちゃった婚で結婚を決めたコウタ (戸塚純貴) とマリコ (秋月三佳)。現役で大学に進学し、意気揚々と上京するユウキ (冨田佳輔)。7人がそれぞれに大人への階段を上り始めて3年後、夢に挫折する者、希望を見失う者、予期せぬことに苦しむ者―7人7様の人生模様が繰り広げられる。そして、再び“あの場所”に戻った者たちの胸に宿る思いとは…。,"青春,ヒューマンドラマ"
映画 それいけ! アンパンマン ブルブルの宝探し大冒険!,森で出会ったライオンの男の子、ブルブル。宝探しの一族に生まれたというブルブルは、一枚の宝の地図を持っていた。地図に描かれていたのは、南の海に浮かぶ「オニツノ島」…。ブルブルは、アンパンマンたちと一緒に、冒険の旅に出かけることに。宝物は、見つけられるかな?,"キッズ,アニメ,ファミリー"
映画 それいけ! アンパンマン とばせ! 希望のハンカチ,いたずら好きのオバケ･どろろん、ずろろん、でろろん。みんなをにオバケの姿に変身させてしまいます。学校では、みみせんせいと一緒にみんなが歌と手遊びをしてお遊戯会の練習をしています。楽しそうな音楽とジャムおじさんの作った美味しいパンの匂いにつられて、オバケ達もやってきて…。,"キッズ,アニメ,ファミリー"
映画 それいけ! アンパンマン よみがえれバナナ島,おいしいバナナがいつもあふれている南の国、バナナ島には、ちょっとワガママだけど元気いっぱいの女王･バンナたちが住んでいます。島の一大イベント“バナナ祭り”に招待されたアンパンマンたちでしたが、島は雲に覆われ、寒さのためにバナナが全部枯れてしまっていました。アンパンマンたちに助けてもらうことが面白くない、意地っぱりのバンナでしたが…。,"キッズ,アニメ,ファミリー"
