タイトル,あらすじ,ジャンル
［リミット］,『SAW』シリーズ、『パラノーマル･アクティビティ』に続く、［超体感型］ワン･シチュエーション･スリラー。イラクで突然襲われた米国人トラック運転手ポール･コンロイ。彼が目を覚ますと、そこは、土の重さがのしかかる閉ざされた箱の中だった…。残り90分の酸素しかない密閉された場所、手元にあるものは、充電切れ間近の見慣れない携帯電話。そして毎秒ごとに迫りくる死…。果たして彼はそこから脱出できるのか? そして彼はそこに埋められた目的は?,"ヒューマンドラマ,サスペンス／ミステリー"
ペット,ニューヨーク･マンハッタンに住むテリア系雑種犬のマックスは、飼い主ケイティに愛され、幸せな生活を送っていた。ところが、ケイティが里親として新たに毛むくじゃらの大型犬デュークを引き取ってきたから、さあ大変! 上位争いを始めた2匹は、散歩中にトラブルに巻き込まれ、街なかで迷子になってしまう。やがて2匹は、見た目は可愛いがクレイジーなウサギのスノーボールに遭遇。スノーボールは飼い主に捨てられた元ペット軍団を結成し、ある計画を企んでいた。はたしてマックスとデュークは、ピンチを切り抜け、ケイティが帰宅するまでに無事に家に帰り着くことができるのか―。,"アニメ,アドベンチャー,キッズ"
ワイルド･スピード SKY MISSION,ヴィン･ディーゼル、ポール･ウォーカー、ドウェイン･ジョンソンを始めシリーズの出演者が集結し、重力をものともしないシリーズ最高の感動的なアドベンチャーを描く。復讐に燃える冷酷な殺し屋 (ジェイソン･ステイサム) の攻撃を受け、彼らは再びハンドルを握り、ある追跡装置の確保に望みをかける。遠くはアブダビや、彼らがホームと呼ぶ馴染みあるロサンゼルスのストリートなどあらゆる場所で、史上最強の敵に立ち向かう。彼らは再び力を合わせ、チームとして、家族として仲間を守る。,"アクション,サスペンス／ミステリー"
イングロリアス･バスターズ,鬼才クエンティン･タランティーノ監督が自由な発想で描く、第二次世界大戦を題材にした過激で痛快な復讐譚! ブラッド･ピット演じるアルド･レイン中尉が率いる、アメリカ軍ナチス狩り部隊が、大胆不敵にも第三帝国の首脳陣暗殺の計画を決行しようとする。,"アクション,戦争,ヒューマンドラマ"
ミニオンズ,ユニバーサル･スタジオとイルミネーション･エンターテインメントが贈る、ミニオン誕生の物語。黄色い単細胞生物として生まれたミニオンたちは何世紀もかけて進化し、絶えず最強最悪のボスに仕えてきた。ティラノサウルスやナポレオンが主人になるものの失敗続きで、ついには仕えるべきボスがいなくなり意気消沈。そこでミニオンの一人ケビンがある計画を思いつく。,"アニメ,キッズ,ファミリー"
プレイス･ビヨンド･ザ･パインズ／宿命,天才ライダーのルークは、その日暮らしの生活を送っていたが、偶然かつての恋人ロミーナと出会う。ロミーナが密かに2人の子供を生んでいたことを知り、2人を養うため、街で出会った修理工の男と共に銀行強盗をする。一方、立身出世に野心を燃やす新米警官のエイヴリーは、ルークを追い詰めるが、いざ対峙したときに、重大なミスを犯してしまう。自分の過ちを深く恥じ入るエイヴリーだったが、彼はこの一件で皮肉にも周囲から高く評価される。15年後、壮絶なドラマは、息子たちの世代にも引き継がれ、親から受け継いだ罪と向き合うことに…。,"サスペンス／ミステリー,ヒューマンドラマ"
ワイルド･スピード EURO MISSION,強盗団の元リーダー、ドミニクと相棒ブライアン、そしてドミニクの妹でブライアンのパートナーでもあるミア。祖国アメリカを追われたものの、ミアが無事に出産を終え、新たな家庭が築かれたことで、逃亡先の南洋の地は彼らの楽園になると思われた…。,"アクション,サスペンス／ミステリー"
ワイルド･スピード MEGA MAX,ヴィン･ディーゼルとポール･ウォーカーがオールスターキャストを率い、猛スピードのカーアクションで魅せる爆発的人気の「ワイルド･スピード」シリーズ第5弾! ブラジルのリオデジャネイロを舞台に、警官とカーレーサーたちが奇妙な共同戦線を結ぶ、ハイスピードの大金強奪作戦!,"アクション,サスペンス／ミステリー"
アンダーワールド,ブラックレザーのロングコートに身を包み、夜の街を見下ろす一人の美女。その正体はヴァンパイア、名前はセリーン。長年戦い続けている宿敵、ライカン (狼男族) の処刑人である。ある夜、彼女はマイケルという青年医師に出会うが、ライカンが彼を執拗に追いかけていることに気づき不審に思う。彼こそは両種族にとって、この戦いの鍵である恐るべき秘密を握っていた。そして、遂に驚愕の過去が明かされる時、セリーンは本能のまま最後の戦いへと身を投じるのだった。,"アクション,ホラー,ファンタジー"
NERVE／ナーヴ 世界で一番危険なゲーム,親友シドニーのお節介に苛立ったのがきっかけで裏オンラインゲームに参戦した女子高生ヴィー (エマ･ロバーツ)。引っ込み思案な自分を変えてくれるスリリングなゲームは彼女を一夜にしてネットセレブへ押し上げるのだが、楽しかったはずのゲームは、次第に命を脅かす危険なものに変わり…。ジュリア･ロバーツの姪っ子エマ･ロバーツと、「グランド･イリュージョン」のデイヴ･フランコら、若手注目株のW主演!,"サスペンス／ミステリー,アクション"
