タイトル,あらすじ,ジャンル
ケンガンアシュラ,企業同士が利権をかけて闘技者を戦わせるガチンコ勝負、拳願仕合。十鬼蛇王馬(ときたおうま)は、金のためでも権力のためでもなく、最強の証を求めて戦い続ける。,アクションアニメ
鬼滅の刃,"鬼に変貌してしまった妹を人間に戻し、家族を殺した鬼を討つため、心優しき少年・炭次郎は、""鬼狩り""の道を進む決意をする。",SF・ファンタジーアニメ
キャノン・バスターズ,友情を重んじる女アンドロイドが、親友の王子を捜す旅に出る。不死身の荒くれ者フィリー・ザ・キッドを仲間に加え、変形する巨大キャデラックで目的地を目指せ!,ロボット・サイボーグアニメ
ULTRAMAN,光の巨人が平和をもたらした地球は、再び異星人の脅威にさらされていた。少年はウルトラマンとして戦った父の伝説を継承し、次世代のヒーローとして立ち上がる!,SF・ファンタジーアニメ
ダンベル何キロ持てる？,最近太り気味の女子高生、紗倉ひびきは、一念発起してジムに入会。だが、そこは予想に反してガチなトレーニングジムだった。筋トレ素人のひびきを待つ運命は!?,青春・学園アニメ
リラックマとカオルさん,ふわふわな体、優しい目、そして安定のマイペースぶり。いつのまにか住みついたリラックマのおかげで、平凡なカオルさんの毎日はいつもほんわり温かい。,アニメ
聖闘士星矢: Knights of the Zodiac,この世に邪悪がはびこるとき、必ずや現れるという希望の闘士、聖闘士(セイント)。忌まわしき予言から女神アテナの化身を守るため、星矢たち聖闘士が立ち上がる。,SF・ファンタジーアニメ
Dr.STONE,全人類が石化してから数千年。すっかり様変わりした未来の地球で目覚めた天才少年・千空と幼なじみの大樹は、科学の力を駆使して文明社会の再建を目指す。,SF・ファンタジーアニメ
7SEEDS,内気な少女、ナツは眠りから目覚め、人類絶滅を回避するために他の若者達と共に冷凍保存されていたことを知る。変わり果てた地球で、壮絶なサバイバルが始まる。,SF・ファンタジーアニメ
キャロル＆チューズデイ,フリーターのキャロルと裕福な生まれのチューズデイ。ミュージシャンを目指す2人は偶然に出会い、夢を信じて共に歌い始める。2人一緒なら、きっと夢はかなう。,アニメ
かぐや様は告らせたい～天才たちの恋愛頭脳戦～,将来を期待された秀才が集う秀知院学園。生徒会副会長・四宮かぐやと会長・白銀御行は互いに惹かれ合っているはずなのだが……。,コメディ・ギャグアニメ
炎炎ノ消防隊,人が突如発火し怪物へと変異する謎の現象が、人類の平和を脅かす世界。特殊な能力と辛い過去をもつ少年は、特殊消防隊の一員として過酷な戦いに身を投じていく。,SF・ファンタジーアニメ
フルーツバスケット,母親を亡くして以来一人で暮らしていた本田透が、由緒正しき草摩家で暮らすことに。だが、一族が何百年も前からある呪いに縛られていることを透はまだ知らない…。,青春・学園アニメ
甲鉄城のカバネリ 海門決戦,"人とカバネの攻防戦が続く中、新たな戦いの地である""海門""にたどり着いた甲鉄城。志を同じくする者と連合軍を結成した生駒たちは、カバネとの激戦に挑むが...。",SF・ファンタジーアニメ
BEM,正体を隠して人間の姿で生きる妖怪人間、ベム、ベラ、ベロ。人間に憧れ、人間を守ろうとしながらも人間に傷つけられる3人に、謎に満ちた捕獲者の魔の手が迫る。,サスペンス・ホラーアニメ
彼方のアストラ,宇宙旅行が当たり前になった未来。9名の少年少女は予期せぬ事態に襲われ、宇宙のはるか彼方で遭難。自力で生還を果たすべく、広大な宇宙でサバイバルが始まる。,SF・ファンタジーアニメ
ありふれた職業で世界最強,いじめられっ子の南雲ハジメは異世界へ召喚されるが、ここでも相変わらずの最弱ぶり。だが、光すら届かぬ絶望の底へと落ちた時、少年は最強への道を歩み始める。,TVアニメ
とある科学の一方通行,最強最悪の能力者、アクセラレータは、正義のヒーローなんかじゃない。だが、謎の過激組織DAが暗躍を始め、彼は事件へと巻き込まれてゆく。厄介事は勘弁なのに。,SF・ファンタジーアニメ
