タイトル,あらすじ,ジャンル
アニメ世界への扉,アニメとは何なのか? 世界中にコアなファンを持つこの独特な世界を形作ってきた立役者たちを深く掘り下げ、さまざまなテイストのアニメ制作の舞台裏を大公開。,文化・社会ドキュメンタリー
麻雀放浪記2020,天才雀士の坊や哲は、1945年から新たな戦後を迎えた2020年の東京にタイムスリップする。地下アイドルのドテ子と一緒に元に戻る方法を模索するが...。,国内コメディ
花とアリス殺人事件,転校先のクラスメートから、ある生徒が殺されたというウワサを聞くアリス。興味がわいた彼女は、事件について何か知っているらしい引きこもりの隣人・花を訪ねる。,ミステリー
銀魂2 掟は破るためにこそある,金欠でバイトをすることになった銀時たちが、打ち首覚悟で将軍を接待しているうちに真選組の内部抗争に巻き込まれてしまう! 銀時は江戸の町を守れるのか。,国内アクション・アドベンチャー
BLEACH,突然、死神の力を与えられてしまった高校生の一護。思わぬ事態に困惑する一護だが、元の人間に戻るためには死神代行として修行に励むしかないと言われ…?,国内アクション・アドベンチャー
Hikaru Utada Laughter in the Dark Tour 2018,"デビュー20周年を記念して開催された宇多田ヒカルの""Laughter in the Dark Tour 2018""。12年ぶりとなる国内ツアーの最後を飾る、幕張メッセでの最終公演を完全収録。",音楽・ミュージカル
劇場版 七つの大罪 天空の囚われ人,幻の食材を探すうち天空宮へ飛ばされた団長と豚のホーク。凶悪な魔獣を3000年の封印から解こうとする魔神族から天翼人を守るため、七つの大罪が立ち上がる。,国内アクション・アドベンチャー
GODZILLA 星を喰う者,敗北感と虚無感が広がる人間たちのエクシフへの傾倒を止められないハルオ。そして滅びもいとわないカルトの手で、星を喰(く)うあの怪物が呼び覚まされる!,国内アクション・アドベンチャー
坂道のアポロン,優等生の律子、孤独を抱える転校生の薫、そして律子の幼なじみの不良少年、千太郎。音楽が結んだ固い友情はずっと続くはずだった。あの運命の日が訪れるまでは...。,ヒューマンドラマ
ニンジャバットマン,バットマンと悪党達は、時空震エンジンの暴走によって戦国時代へタイムスリップ。時空を超えた戦が始まる! 日本屈指のクリエイター達が贈る戦国バットマン物語。,国内アクション・アドベンチャー
GODZILLA 決戦機動増殖都市,"ゴジラから地球を取り戻す戦いに挑むハルオと仲間たち。人類の生き残りフツアの民の助けを得て、かつて対ゴジラ兵器""メカゴジラ""を開発していた研究所へ向かう。",国内アクション・アドベンチャー
ゼニガタ,さびれた港町で居酒屋を営む銭形兄弟の裏稼業は、違法な高金利で金を貸す闇金業者。ボクサー崩れのわけあり男を新たに雇い入れ、欲にまみれた者たちを追いつめる。,国内映画
